"","Heteroneme.width..um.","Heteroneme.volume..um3.","Heteroneme.shaft.free.length..um.","Heteroneme.shaft.width..um.","Heteroneme.number","Haploneme.free.length..um.","Haploneme.width..um.","Desmoneme.length..um.","Desmoneme.width..um.","Rhopaloneme.length..um.","Rhopaloneme.width..um.","Cnidoband.length..um.","Cnidoband.free.length..um.","Cnidoband.width..um.","Haploneme.row.number..um.","Tentacle.width..um.","Pedicle.width..um.","Elastic.strand.width..um.","Involucrum.length..um.","coiledness","heteroneme_elongation","haploneme_elongation","desmoneme_elongation","rhopaloneme_elongation","heteroneme_shaft_extension","Heteroneme_to_CB","total_heteroneme_volume","total_haploneme_volume","cnidomic_index"
"Copepod diet",0.953,0.841,0.629,0.957,0.656,0.672,0.677,0.563,0.574,0.405,0.816,0.759,0.792,0.795,0.636,0.745,0.812,0.924,0.927,0.915,0.886,0.876,0.978,0.122,0.927,0.535,0.823,0.972,0.896
"Fish diet",0.125,0.22,0.617,0.037,0.162,0.572,0.455,0.213,0.651,0.441,0.633,0.518,0.33,0.32,0.158,0.309,0.114,0.283,0.218,0.203,0.338,0.922,0.159,0.648,0.246,0.039,0.547,0.456,0.48
"Amphipod diet",0.064,0.084,0.197,0.046,0.078,0.194,0.122,0.734,0.807,0.987,0.649,0.208,0.204,0.219,0.303,0.193,0.07,0.158,0.247,0.406,0.676,0.898,0.259,0.093,0.168,0.145,0.328,0.243,0.269
"Polychaete diet",0.018,0.202,0.954,0.043,0.302,0.707,0.499,0.751,0.798,0.725,0.977,0.723,0.678,0.388,0.465,0.22,0.189,0.761,0.308,0.697,0.006,0.315,0.236,0.342,0.028,0.228,0.551,0.704,0.583
"Mollusc diet",0.722,0.667,0.696,0.699,0.902,0.79,0.63,0.367,0.56,0.6,0.431,0.985,0.76,0.821,0.46,0.845,0.869,0.981,0.513,0.433,0.513,0.575,0.524,0.462,0.714,0.598,0.71,0.915,0.784
"Decapod diet",0.217,0.11,0.111,0.145,0.111,0.071,0.111,0.849,0.626,0.748,0.437,0.071,0.101,0.121,0.162,0.105,0.034,0.111,0.077,0.281,0.701,0.784,0.18,0.092,0.404,0.189,0.072,0.088,0.095
"Crustacean diet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chaetognath diet",0.907,0.742,0.906,0.825,0.349,0.878,0.661,0.601,0.873,0.337,0.531,0.823,0.897,0.722,0.831,0.566,0.434,0.96,0.822,0.997,0.071,0.053,0.524,0.475,0.034,0.353,0.757,0.874,0.83
"Ostracod diet",0.363,0.565,0.983,0.222,0.595,0.603,0.858,0.03,0.058,0.014,0.07,0.77,0.845,1,0.319,0.905,0.478,0.946,0.427,0.359,0.097,0.734,0.648,0.916,0.965,0.203,0.884,0.867,0.878
