obs_id,species,stage,character,state,source
,Sulculeolaria monoica,adult,Crustacean diet,1,Biggs1977b_Feeding
,Stephanophyes superba,adult,Crustacean diet,1,Biggs1977b_Feeding
,Nanomia bijuga,adult,Crustacean diet,1,Biggs1977b_Feeding
,Forskalia edwardsi,adult,Crustacean diet,1,Biggs1977b_Feeding
,Forskalia tholoides,adult,Crustacean diet,1,Biggs1977b_Feeding
,Agalma elegans,adult,Crustacean diet,1,Biggs1977b_Feeding
,Agalma okeni,adult,Crustacean diet,1,Biggs1977b_Feeding
,Athorybia rosacea,adult,Crustacean diet,1,Biggs1977b_Feeding
,Rhizophysa filiformis,adult,Crustacean diet,0,Biggs1977b_Feeding
,Agalma okeni,adult,Diel feeding,Nocturnal,Biggs1977b_Feeding
,Bathyphysa sibogae,adult,Crustacean diet,0,Biggs1977b_Feeding
,Bathyphysa sibogae,adult,Copepod diet,0,Biggs1977b_Feeding
,Agalma okeni,adult,Gut contents,Amphipod,Biggs1978
,Rosacea flaccida,adult,Stem contractility,Contractile,Biggs1978b_Rflaccida
,Rosacea flaccida,adult,Cnidoband color,Bright yellow,Biggs1978b_Rflaccida
,Rosacea flaccida,adult,Heteroneme type,Microbasic mastigophores,Biggs1978b_Rflaccida
,Rosacea flaccida,adult,Haploneme type,Anisorhizas,Biggs1978b_Rflaccida
,Rosacea flaccida,adult,Heteroneme shape,Elongate,Biggs1978b_Rflaccida
,Rosacea flaccida,adult,Haploneme shape,Elongate,Biggs1978b_Rflaccida
,Rosacea flaccida,adult,Desmoneme shape,Ovoid,Biggs1978b_Rflaccida
,Rosacea flaccida,adult,Rhopaloneme shape,Elongate,Biggs1978b_Rflaccida
,Rosacea flaccida,adult,Terminal filament nematocyst arrangement,1Desmonemes,1Rhopalonemes,Biggs1978b_Rflaccida
,Rosacea flaccida,adult,Terminal filament,1,Biggs1978b_Rflaccida
,Rosacea flaccida,adult,Cnidoband shape,C,Biggs1978b_Rflaccida
,Rosacea cymbiformis,adult,Heteroneme type,Microbasic mastigophores,Biggs1978b_Rflaccida
,Rosacea plicata,adult,Heteroneme type,Microbasic mastigophores,Biggs1978b_Rflaccida
,Desmophyes villafrancae,adult,Heteroneme type,Microbasic euryteles,Biggs1978b_Rflaccida
,Desmophyes annectens,adult,Heteroneme type,Microbasic mastigophores,Biggs1978b_Rflaccida
,Rosacea cymbiformis,adult,Heteroneme shape,Elongate,Biggs1978b_Rflaccida
,Rosacea plicata,adult,Heteroneme shape,Elongate,Biggs1978b_Rflaccida
,Desmophyes villafrancae,adult,Heteroneme shape,Elongate,Biggs1978b_Rflaccida
,Desmophyes annectens,adult,Heteroneme shape,Elongate,Biggs1978b_Rflaccida
,Rosacea cymbiformis,adult,Haploneme type,Anisorhizas,Biggs1978b_Rflaccida
,Rosacea plicata,adult,Haploneme type,Anisorhizas,Biggs1978b_Rflaccida
,Desmophyes villafrancae,adult,Haploneme type,Anisorhizas,Biggs1978b_Rflaccida
,Desmophyes annectens,adult,Haploneme type,Anisorhizas,Biggs1978b_Rflaccida
,Rosacea cymbiformis,adult,Haploneme shape,Elongate,Biggs1978b_Rflaccida
,Rosacea plicata,adult,Haploneme shape,Elongate,Biggs1978b_Rflaccida
,Rosacea cymbiformis,adult,Desmoneme shape,Ovoid,Biggs1978b_Rflaccida
,Rosacea plicata,adult,Desmoneme shape,Ovoid,Biggs1978b_Rflaccida
,Desmophyes villafrancae,adult,Desmoneme shape,Ovoid,Biggs1978b_Rflaccida
,Desmophyes annectens,adult,Desmoneme shape,Ovoid,Biggs1978b_Rflaccida
,Rosacea plicata,adult,Desmoneme shape,Spherical,Biggs1978b_Rflaccida
,Rosacea cymbiformis,adult,Rhopaloneme shape,Elongate,Biggs1978b_Rflaccida
,Rosacea plicata,adult,Rhopaloneme shape,Elongate,Biggs1978b_Rflaccida
,Desmophyes villafrancae,adult,Rhopaloneme shape,Elongate,Biggs1978b_Rflaccida
,Desmophyes annectens,adult,Rhopaloneme shape,Elongate,Biggs1978b_Rflaccida
,Rosacea cymbiformis,adult,Terminal filament,1,Biggs1978b_Rflaccida
,Rosacea plicata,adult,Terminal filament,1,Biggs1978b_Rflaccida
,Desmophyes villafrancae,adult,Terminal filament,1,Biggs1978b_Rflaccida
,Desmophyes annectens,adult,Terminal filament,1,Biggs1978b_Rflaccida
,Rosacea flaccida,adult,Heteroneme position,Proximal,Biggs1978b_Rflaccida
,Rosacea cymbiformis,adult,Heteroneme position,Proximal,Biggs1978b_Rflaccida
,Rosacea plicata,adult,Heteroneme position,Proximal,Biggs1978b_Rflaccida
,Desmophyes villafrancae,adult,Heteroneme position,Proximal,Biggs1978b_Rflaccida
,Desmophyes annectens,adult,Heteroneme position,Proximal,Biggs1978b_Rflaccida
,Rosacea flaccida,adult,Fishing posture,Curtain,Biggs1978b_Rflaccida
,Athorybia lucida,adult,Involucrum,1,Biggs1978c_Athorybia
,Athorybia lucida,adult,Involucrum enclosing,0,Biggs1978c_Athorybia
,Athorybia lucida,adult,Cnidoband shape,Zigzag,Biggs1978c_Athorybia
,Athorybia lucida,adult,Heteroneme position,Lateral,Biggs1978c_Athorybia
,Athorybia lucida,adult,Ventral cnidoband pigment spot,1,Biggs1978c_Athorybia
,Athorybia lucida,adult,Central ampulla,0,Biggs1978c_Athorybia
,Athorybia lucida,adult,Involucral dendritic projections,1,Biggs1978c_Athorybia
,Athorybia lucida,adult,Fused terminal filaments,1,Biggs1978c_Athorybia
,Athorybia lucida,adult,Cnidoband pigment spot color,Red-orange,Biggs1978c_Athorybia
,Cordagalma ordinatum,adult,Haploneme type,Isorhizas,Carre1968
,Cordagalma ordinatum,adult,Gastrozooid color,Colorless,Carre1968_Ccordiformis
,Cordagalma ordinatum,adult,Cnidoband shape,Microovoid,Carre1968_Ccordiformis
,Cordagalma ordinatum,adult,Encapsulated cnidoband,1,Carre1968_Ccordiformis
,Cordagalma ordinatum,adult,Heteroneme type,Stenoteles,Carre1968_Ccordiformis
,Cordagalma ordinatum,adult,Heteroneme position,Proximal,Carre1968_Ccordiformis
,Cordagalma ordinatum,adult,Haploneme type,Anisorhizas,Carre1968_Ccordiformis
,Cordagalma ordinatum,adult,Haploneme type,Isorhizas,Carre1968_Ccordiformis
,Cordagalma ordinatum,adult,Proximal haploneme type,Anisorhizas,Carre1968_Ccordiformis
,Cordagalma ordinatum,adult,Distal haploneme type,Isorhizas,Carre1968_Ccordiformis
,Cordagalma ordinatum,adult,Heteroneme shape,Oval,Carre1968_Ccordiformis
,Cordagalma ordinatum,adult,Haploneme shape,Elongate,Carre1968_Ccordiformis
,Cordagalma ordinatum,adult,Haploneme shape,Oval,Carre1968_Ccordiformis
,Cordagalma ordinatum,adult,Proximal haploneme shape,Elongate,Carre1968_Ccordiformis
,Cordagalma ordinatum,adult,Distal haploneme shape,Oval,Carre1968_Ccordiformis
,Cordagalma ordinatum,adult,Terminal filament,0,Carre1968_Ccordiformis
,Lilyopsis medusa,adult,Haploneme type,Anisorhizas,Carre1969a_Lrosea
,Lilyopsis medusa,adult,Heteroneme type,Microbasic mastigophores,Carre1969a_Lrosea
,Lilyopsis medusa,adult,Rhopaloneme type,Anacrophores,Carre1969a_Lrosea
,Lilyopsis medusa,adult,Cnidoband shape,C,Carre1969a_Lrosea
,Lilyopsis medusa,adult,Terminal filament,1,Carre1969a_Lrosea
,Lilyopsis medusa,adult,Desmonemes in the cnidoband,1,Carre1969a_Lrosea
,Lilyopsis medusa,adult,Cnidoband desmoneme position,Terminal,Carre1969a_Lrosea
,Lilyopsis medusa,adult,Heteroneme shape,Elongate,Carre1969a_Lrosea
,Lilyopsis medusa,adult,Haploneme shape,Elongate,Carre1969a_Lrosea
,Lilyopsis medusa,adult,Desmoneme shape,Ovoid,Carre1969a_Lrosea
,Lilyopsis medusa,adult,Rhopaloneme shape,Elongate,Carre1969a_Lrosea
,Lilyopsis medusa,adult,Haploneme shape,Banana,Carre1969a_Lrosea
,Prayola tottoni,adult,Heteroneme type,Stenoteles,Carre1969c_Ptottoni
